"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-81.15","43.03","LONDON A","6144473","2020-05-01 00:00","2020","05","01","00:00","5.7","","5.3","","97","","27","","14","","2.4","","97.37","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2020-05-01 01:00","2020","05","01","01:00","4.8","","4.5","","98","","28","","13","","2.8","","97.39","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2020-05-01 02:00","2020","05","01","02:00","4.9","","4.6","","98","","30","","14","","6.4","","97.41","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2020-05-01 03:00","2020","05","01","03:00","4.8","","4.7","","99","","29","","14","","1.6","","97.45","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2020-05-01 04:00","2020","05","01","04:00","5.0","","4.9","","99","","30","","17","","0.6","","97.51","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2020-05-01 05:00","2020","05","01","05:00","5.6","","5.6","","100","","31","","16","","2.0","","97.53","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2020-05-01 06:00","2020","05","01","06:00","6.2","","6.1","","100","","33","","19","","3.2","","97.62","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2020-05-01 07:00","2020","05","01","07:00","6.5","","6.4","","99","","33","","18","","2.4","","97.68","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2020-05-01 08:00","2020","05","01","08:00","6.9","","6.3","","96","","34","","23","","16.1","","97.78","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2020-05-01 09:00","2020","05","01","09:00","7.1","","6.4","","95","","32","","16","","24.1","","97.86","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2020-05-01 10:00","2020","05","01","10:00","8.3","","6.3","","87","","35","","20","","24.1","","97.92","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2020-05-01 11:00","2020","05","01","11:00","9.1","","6.5","","84","","31","","19","","24.1","","98.02","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2020-05-01 12:00","2020","05","01","12:00","10.6","","7.1","","79","","32","","18","","24.1","","98.04","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2020-05-01 13:00","2020","05","01","13:00","12.7","","7.3","","69","","34","","22","","24.1","","98.05","","","","","","Mostly Cloudy"
"-81.15","43.03","LONDON A","6144473","2020-05-01 14:00","2020","05","01","14:00","11.6","","8.3","","80","","28","","23","","24.1","","98.07","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2020-05-01 15:00","2020","05","01","15:00","13.3","","8.2","","71","","30","","19","","24.1","","98.06","","","","","","NA"
