Energy consumption time period,Usage (kilowatt-hours),Cost (Canadian Dollar)
2020/03/01 00:00 to 2020/03/01 01:00,0.89,0.06
2020/03/01 01:00 to 2020/03/01 02:00,0.93,0.06
2020/03/01 02:00 to 2020/03/01 03:00,0.88,0.06
2020/03/01 03:00 to 2020/03/01 04:00,0.9,0.06
2020/03/01 04:00 to 2020/03/01 05:00,1,0.06
2020/03/01 05:00 to 2020/03/01 06:00,0.86,0.06
2020/03/01 06:00 to 2020/03/01 07:00,1.03,0.07
2020/03/01 07:00 to 2020/03/01 08:00,0.83,0.05
2020/03/01 08:00 to 2020/03/01 09:00,0.85,0.06
2020/03/01 09:00 to 2020/03/01 10:00,0.75,0.05
2020/03/01 10:00 to 2020/03/01 11:00,0.67,0.04
2020/03/01 11:00 to 2020/03/01 12:00,0.87,0.06
2020/03/01 12:00 to 2020/03/01 13:00,0.79,0.05
2020/03/01 13:00 to 2020/03/01 14:00,0.73,0.05
2020/03/01 14:00 to 2020/03/01 15:00,1.1,0.07
2020/03/01 15:00 to 2020/03/01 16:00,1.06,0.07
2020/03/01 16:00 to 2020/03/01 17:00,1.06,0.07
2020/03/01 17:00 to 2020/03/01 18:00,1.43,0.09
2020/03/01 18:00 to 2020/03/01 19:00,1.42,0.09
2020/03/01 19:00 to 2020/03/01 20:00,1.61,0.1
2020/03/01 20:00 to 2020/03/01 21:00,1.53,0.1
2020/03/01 21:00 to 2020/03/01 22:00,1.31,0.09
2020/03/01 22:00 to 2020/03/01 23:00,7.44,0.48
2020/03/01 23:00 to 2020/03/02 00:00,1.66,0.11
2020/03/02 00:00 to 2020/03/02 01:00,1.5,0.15
2020/03/02 01:00 to 2020/03/02 02:00,0.96,0.1
2020/03/02 02:00 to 2020/03/02 03:00,1.03,0.1
2020/03/02 03:00 to 2020/03/02 04:00,0.99,0.1
2020/03/02 04:00 to 2020/03/02 05:00,0.89,0.09
2020/03/02 05:00 to 2020/03/02 06:00,1.07,0.11
2020/03/02 06:00 to 2020/03/02 07:00,0.91,0.09
2020/03/02 07:00 to 2020/03/02 08:00,1.15,0.24
2020/03/02 08:00 to 2020/03/02 09:00,0.88,0.18
2020/03/02 09:00 to 2020/03/02 10:00,0.85,0.18
2020/03/02 10:00 to 2020/03/02 11:00,1.08,0.22
2020/03/02 11:00 to 2020/03/02 12:00,1.11,0.16
2020/03/02 12:00 to 2020/03/02 13:00,1.23,0.18
2020/03/02 13:00 to 2020/03/02 14:00,1.21,0.17
2020/03/02 14:00 to 2020/03/02 15:00,1.4,0.2
2020/03/02 15:00 to 2020/03/02 16:00,5.09,0.73
2020/03/02 16:00 to 2020/03/02 17:00,1.74,0.25
2020/03/02 17:00 to 2020/03/02 18:00,1.6,0.33
2020/03/02 18:00 to 2020/03/02 19:00,2.56,0.53
2020/03/02 19:00 to 2020/03/02 20:00,2.34,0.24
2020/03/02 20:00 to 2020/03/02 21:00,3.12,0.32
2020/03/02 21:00 to 2020/03/02 22:00,1.05,0.11
2020/03/02 22:00 to 2020/03/02 23:00,1.3,0.13
2020/03/02 23:00 to 2020/03/03 00:00,1.95,0.2
2020/03/03 00:00 to 2020/03/03 01:00,2.14,0.22
2020/03/03 01:00 to 2020/03/03 02:00,1.54,0.16
2020/03/03 02:00 to 2020/03/03 03:00,1.12,0.11
2020/03/03 03:00 to 2020/03/03 04:00,1.16,0.12
2020/03/03 04:00 to 2020/03/03 05:00,1.16,0.12
2020/03/03 05:00 to 2020/03/03 06:00,1.21,0.12
2020/03/03 06:00 to 2020/03/03 07:00,1.09,0.11
2020/03/03 07:00 to 2020/03/03 08:00,1.24,0.26
2020/03/03 08:00 to 2020/03/03 09:00,0.97,0.2
2020/03/03 09:00 to 2020/03/03 10:00,1.37,0.28
2020/03/03 10:00 to 2020/03/03 11:00,1.73,0.36
2020/03/03 11:00 to 2020/03/03 12:00,6.51,0.94
2020/03/03 12:00 to 2020/03/03 13:00,2.25,0.32
2020/03/03 13:00 to 2020/03/03 14:00,2.55,0.37
2020/03/03 14:00 to 2020/03/03 15:00,3.54,0.51
2020/03/03 15:00 to 2020/03/03 16:00,2.86,0.41
2020/03/03 16:00 to 2020/03/03 17:00,2.77,0.4
2020/03/03 17:00 to 2020/03/03 18:00,1.27,0.26
2020/03/03 18:00 to 2020/03/03 19:00,1.61,0.33
2020/03/03 19:00 to 2020/03/03 20:00,2.07,0.21
2020/03/03 20:00 to 2020/03/03 21:00,1.98,0.2
2020/03/03 21:00 to 2020/03/03 22:00,1.44,0.15
2020/03/03 22:00 to 2020/03/03 23:00,1.44,0.15
2020/03/03 23:00 to 2020/03/04 00:00,1.85,0.19
2020/03/04 00:00 to 2020/03/04 01:00,2.11,0.21
2020/03/04 01:00 to 2020/03/04 02:00,1.82,0.18
2020/03/04 02:00 to 2020/03/04 03:00,0.93,0.09
2020/03/04 03:00 to 2020/03/04 04:00,0.85,0.09
2020/03/04 04:00 to 2020/03/04 05:00,0.92,0.09
2020/03/04 05:00 to 2020/03/04 06:00,0.86,0.09
2020/03/04 06:00 to 2020/03/04 07:00,0.97,0.1
2020/03/04 07:00 to 2020/03/04 08:00,0.96,0.2
2020/03/04 08:00 to 2020/03/04 09:00,0.62,0.13
2020/03/04 09:00 to 2020/03/04 10:00,0.83,0.17
2020/03/04 10:00 to 2020/03/04 11:00,1.41,0.29
2020/03/04 11:00 to 2020/03/04 12:00,1.52,0.22
2020/03/04 12:00 to 2020/03/04 13:00,2.23,0.32
2020/03/04 13:00 to 2020/03/04 14:00,2.25,0.32
2020/03/04 14:00 to 2020/03/04 15:00,1.72,0.25
2020/03/04 15:00 to 2020/03/04 16:00,1.09,0.16
2020/03/04 16:00 to 2020/03/04 17:00,2.23,0.32
2020/03/04 17:00 to 2020/03/04 18:00,2.77,0.58
2020/03/04 18:00 to 2020/03/04 19:00,2.76,0.57
2020/03/04 19:00 to 2020/03/04 20:00,1.72,0.17
2020/03/04 20:00 to 2020/03/04 21:00,1.45,0.15
2020/03/04 21:00 to 2020/03/04 22:00,1.46,0.15
2020/03/04 22:00 to 2020/03/04 23:00,18.53,1.87
2020/03/04 23:00 to 2020/03/05 00:00,19.04,1.92
2020/03/05 00:00 to 2020/03/05 01:00,19.06,1.93
2020/03/05 01:00 to 2020/03/05 02:00,18.36,1.85
2020/03/05 02:00 to 2020/03/05 03:00,11.26,1.14
2020/03/05 03:00 to 2020/03/05 04:00,1.58,0.16
2020/03/05 04:00 to 2020/03/05 05:00,0.89,0.09
2020/03/05 05:00 to 2020/03/05 06:00,1.05,0.11
2020/03/05 06:00 to 2020/03/05 07:00,0.89,0.09
2020/03/05 07:00 to 2020/03/05 08:00,1.04,0.22
2020/03/05 08:00 to 2020/03/05 09:00,0.7,0.15
2020/03/05 09:00 to 2020/03/05 10:00,0.83,0.17
2020/03/05 10:00 to 2020/03/05 11:00,0.78,0.16
2020/03/05 11:00 to 2020/03/05 12:00,0.76,0.11
2020/03/05 12:00 to 2020/03/05 13:00,1.93,0.28
2020/03/05 13:00 to 2020/03/05 14:00,1.98,0.29
2020/03/05 14:00 to 2020/03/05 15:00,0.98,0.14
2020/03/05 15:00 to 2020/03/05 16:00,0.93,0.13
2020/03/05 16:00 to 2020/03/05 17:00,1.07,0.15
2020/03/05 17:00 to 2020/03/05 18:00,1.24,0.26
2020/03/05 18:00 to 2020/03/05 19:00,2.45,0.51
2020/03/05 19:00 to 2020/03/05 20:00,1.98,0.2
2020/03/05 20:00 to 2020/03/05 21:00,1.65,0.17
2020/03/05 21:00 to 2020/03/05 22:00,1.41,0.14
2020/03/05 22:00 to 2020/03/05 23:00,18.5,1.87
2020/03/05 23:00 to 2020/03/06 00:00,19.07,1.93
2020/03/06 00:00 to 2020/03/06 01:00,10.13,1.02
2020/03/06 01:00 to 2020/03/06 02:00,0.89,0.09
2020/03/06 02:00 to 2020/03/06 03:00,0.86,0.09
2020/03/06 03:00 to 2020/03/06 04:00,1.05,0.11
2020/03/06 04:00 to 2020/03/06 05:00,0.87,0.09
2020/03/06 05:00 to 2020/03/06 06:00,0.95,0.1
2020/03/06 06:00 to 2020/03/06 07:00,0.9,0.09
2020/03/06 07:00 to 2020/03/06 08:00,1.17,0.24
2020/03/06 08:00 to 2020/03/06 09:00,0.81,0.17
2020/03/06 09:00 to 2020/03/06 10:00,0.97,0.2
2020/03/06 10:00 to 2020/03/06 11:00,1.09,0.23
2020/03/06 11:00 to 2020/03/06 12:00,1.22,0.18
2020/03/06 12:00 to 2020/03/06 13:00,2.14,0.31
2020/03/06 13:00 to 2020/03/06 14:00,0.95,0.14
2020/03/06 14:00 to 2020/03/06 15:00,1.17,0.17
2020/03/06 15:00 to 2020/03/06 16:00,1.01,0.15
2020/03/06 16:00 to 2020/03/06 17:00,1.13,0.16
2020/03/06 17:00 to 2020/03/06 18:00,1.68,0.35
2020/03/06 18:00 to 2020/03/06 19:00,1.76,0.37
2020/03/06 19:00 to 2020/03/06 20:00,2,0.2
2020/03/06 20:00 to 2020/03/06 21:00,1.48,0.15
2020/03/06 21:00 to 2020/03/06 22:00,1.27,0.13
2020/03/06 22:00 to 2020/03/06 23:00,1.33,0.13
2020/03/06 23:00 to 2020/03/07 00:00,1.2,0.12
2020/03/07 00:00 to 2020/03/07 01:00,1.47,0.1
2020/03/07 01:00 to 2020/03/07 02:00,1.47,0.1
2020/03/07 02:00 to 2020/03/07 03:00,1.27,0.08
2020/03/07 03:00 to 2020/03/07 04:00,0.98,0.06
2020/03/07 04:00 to 2020/03/07 05:00,0.98,0.06
2020/03/07 05:00 to 2020/03/07 06:00,1.01,0.07
2020/03/07 06:00 to 2020/03/07 07:00,1.01,0.07
2020/03/07 07:00 to 2020/03/07 08:00,0.88,0.06
2020/03/07 08:00 to 2020/03/07 09:00,1.01,0.07
2020/03/07 09:00 to 2020/03/07 10:00,0.87,0.06
2020/03/07 10:00 to 2020/03/07 11:00,1.03,0.07
2020/03/07 11:00 to 2020/03/07 12:00,1.02,0.07
2020/03/07 12:00 to 2020/03/07 13:00,1.14,0.07
2020/03/07 13:00 to 2020/03/07 14:00,1.02,0.07
2020/03/07 14:00 to 2020/03/07 15:00,1.01,0.07
2020/03/07 15:00 to 2020/03/07 16:00,1.11,0.07
2020/03/07 16:00 to 2020/03/07 17:00,1.12,0.07
2020/03/07 17:00 to 2020/03/07 18:00,1.57,0.1
2020/03/07 18:00 to 2020/03/07 19:00,2.57,0.17
2020/03/07 19:00 to 2020/03/07 20:00,2.73,0.18
2020/03/07 20:00 to 2020/03/07 21:00,1.71,0.11
2020/03/07 21:00 to 2020/03/07 22:00,1.46,0.09
2020/03/07 22:00 to 2020/03/07 23:00,7.06,0.46
2020/03/07 23:00 to 2020/03/08 00:00,1.59,0.1
2020/03/08 00:00 to 2020/03/08 01:00,1.63,0.11
2020/03/08 03:00 to 2020/03/08 03:00,1.37,0.09
2020/03/08 03:00 to 2020/03/08 04:00,0.97,0.06
2020/03/08 04:00 to 2020/03/08 05:00,0.75,0.05
2020/03/08 05:00 to 2020/03/08 06:00,0.82,0.05
2020/03/08 06:00 to 2020/03/08 07:00,0.77,0.05
2020/03/08 07:00 to 2020/03/08 08:00,0.92,0.06
2020/03/08 08:00 to 2020/03/08 09:00,0.85,0.06
2020/03/08 09:00 to 2020/03/08 10:00,0.77,0.05
2020/03/08 10:00 to 2020/03/08 11:00,0.71,0.05
2020/03/08 11:00 to 2020/03/08 12:00,0.79,0.05
2020/03/08 12:00 to 2020/03/08 13:00,1.1,0.07
2020/03/08 13:00 to 2020/03/08 14:00,0.88,0.06
2020/03/08 14:00 to 2020/03/08 15:00,1.28,0.08
2020/03/08 15:00 to 2020/03/08 16:00,2.38,0.15
2020/03/08 16:00 to 2020/03/08 17:00,4.24,0.28
2020/03/08 17:00 to 2020/03/08 18:00,5.6,0.36
2020/03/08 18:00 to 2020/03/08 19:00,2.76,0.18
2020/03/08 19:00 to 2020/03/08 20:00,2.25,0.15
2020/03/08 20:00 to 2020/03/08 21:00,1.89,0.12
2020/03/08 21:00 to 2020/03/08 22:00,1.22,0.08
2020/03/08 22:00 to 2020/03/08 23:00,1.38,0.09
2020/03/08 23:00 to 2020/03/09 00:00,1.56,0.1
2020/03/09 00:00 to 2020/03/09 01:00,1.66,0.17
2020/03/09 01:00 to 2020/03/09 02:00,1.41,0.14
2020/03/09 02:00 to 2020/03/09 03:00,0.81,0.08
2020/03/09 03:00 to 2020/03/09 04:00,0.75,0.08
2020/03/09 04:00 to 2020/03/09 05:00,0.87,0.09
2020/03/09 05:00 to 2020/03/09 06:00,0.72,0.07
2020/03/09 06:00 to 2020/03/09 07:00,0.7,0.07
2020/03/09 07:00 to 2020/03/09 08:00,0.88,0.18
2020/03/09 08:00 to 2020/03/09 09:00,0.73,0.15
2020/03/09 09:00 to 2020/03/09 10:00,0.7,0.15
2020/03/09 10:00 to 2020/03/09 11:00,0.81,0.17
2020/03/09 11:00 to 2020/03/09 12:00,0.84,0.12
2020/03/09 12:00 to 2020/03/09 13:00,0.93,0.13
2020/03/09 13:00 to 2020/03/09 14:00,0.94,0.14
2020/03/09 14:00 to 2020/03/09 15:00,0.93,0.13
2020/03/09 15:00 to 2020/03/09 16:00,1.03,0.15
2020/03/09 16:00 to 2020/03/09 17:00,1.37,0.2
2020/03/09 17:00 to 2020/03/09 18:00,1.12,0.23
2020/03/09 18:00 to 2020/03/09 19:00,3.2,0.67
2020/03/09 19:00 to 2020/03/09 20:00,1.84,0.19
2020/03/09 20:00 to 2020/03/09 21:00,1.3,0.13
2020/03/09 21:00 to 2020/03/09 22:00,1.88,0.19
2020/03/09 22:00 to 2020/03/09 23:00,20.14,2.03
2020/03/09 23:00 to 2020/03/10 00:00,20.21,2.04
2020/03/10 00:00 to 2020/03/10 01:00,16.37,1.65
2020/03/10 01:00 to 2020/03/10 02:00,2.75,0.28
2020/03/10 02:00 to 2020/03/10 03:00,0.76,0.08
