Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-81.15,43.03,LONDON A,6144473,2020-03-01 00:00,2020,3,1,00:00,-9.9,,-12.3,,83,,23.0,,12,,24.1,,98.52,,,,-16.0,,
-81.15,43.03,LONDON A,6144473,2020-03-01 01:00,2020,3,1,01:00,-7.0,,-11.0,,73,,25.0,,11,,24.1,,98.54,,,,-12.0,,Clear
-81.15,43.03,LONDON A,6144473,2020-03-01 02:00,2020,3,1,02:00,-7.6,,-11.3,,75,,26.0,,10,,24.1,,98.57,,,,-12.0,,
-81.15,43.03,LONDON A,6144473,2020-03-01 03:00,2020,3,1,03:00,-7.9,,-11.0,,79,,25.0,,10,,24.1,,98.6,,,,-13.0,,
-81.15,43.03,LONDON A,6144473,2020-03-01 04:00,2020,3,1,04:00,-9.4,,-11.5,,85,,26.0,,7,,24.1,,98.63,,,,-13.0,,Clear
-81.15,43.03,LONDON A,6144473,2020-03-01 05:00,2020,3,1,05:00,-9.0,,-11.2,,84,,26.0,,7,,24.1,,98.65,,,,-13.0,,
-81.15,43.03,LONDON A,6144473,2020-03-01 06:00,2020,3,1,06:00,-10.4,,-11.7,,91,,21.0,,4,,24.1,,98.65,,,,-13.0,,
-81.15,43.03,LONDON A,6144473,2020-03-01 07:00,2020,3,1,07:00,-11.1,,-12.2,,91,,21.0,,4,,24.1,,98.65,,,,-14.0,,Mainly Clear
-81.15,43.03,LONDON A,6144473,2020-03-01 08:00,2020,3,1,08:00,-11.1,,-12.6,,89,,19.0,,4,,24.1,,98.69,,,,-14.0,,
-81.15,43.03,LONDON A,6144473,2020-03-01 09:00,2020,3,1,09:00,-4.7,,-9.9,,67,,20.0,,13,,24.1,,98.62,,,,-10.0,,
