Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-81.15,43.03,LONDON A,6144473,2018-07-01 00:00,2018,7,1,00:00,25.0,,20.9,,78.0,,21.0,,10.0,,24.1,,98.35,,33.0,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 01:00,2018,7,1,01:00,23.5,,20.8,,84.0,,20.0,,7.0,,24.1,,98.39,,32.0,,,,Clear
-81.15,43.03,LONDON A,6144473,2018-07-01 02:00,2018,7,1,02:00,22.9,,20.6,,86.0,,19.0,,5.0,,24.1,,98.39,,31.0,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 03:00,2018,7,1,03:00,19.9,,19.3,,96.0,,0.0,,1.0,,24.1,,98.42,,,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 04:00,2018,7,1,04:00,20.1,,19.6,,97.0,,26.0,,5.0,,24.1,,98.38,,27.0,,,,Mainly Clear
-81.15,43.03,LONDON A,6144473,2018-07-01 05:00,2018,7,1,05:00,20.1,,19.3,,95.0,,9.0,,5.0,,19.3,,98.37,,27.0,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 06:00,2018,7,1,06:00,21.8,,20.8,,94.0,,16.0,,4.0,,16.1,,98.39,,30.0,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 07:00,2018,7,1,07:00,24.8,,21.8,,83.0,,19.0,,9.0,,24.1,,98.43,,34.0,,,,Mainly Clear
-81.15,43.03,LONDON A,6144473,2018-07-01 08:00,2018,7,1,08:00,26.6,,22.7,,79.0,,18.0,,9.0,,24.1,,98.44,,37.0,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 09:00,2018,7,1,09:00,28.2,,23.4,,75.0,,18.0,,14.0,,24.1,,98.46,,39.0,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 10:00,2018,7,1,10:00,29.4,,23.7,,71.0,,17.0,,14.0,,24.1,,98.42,,40.0,,,,Mainly Clear
-81.15,43.03,LONDON A,6144473,2018-07-01 11:00,2018,7,1,11:00,30.1,,24.5,,72.0,,22.0,,10.0,,24.1,,98.36,,42.0,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 12:00,2018,7,1,12:00,30.5,,22.2,,61.0,,19.0,,22.0,,24.1,,98.34,,40.0,,,,
-81.15,43.03,LONDON A,6144473,2018-07-01 13:00,2018,7,1,13:00,30.8,,22.2,,59.0,,18.0,,22.0,,24.1,,98.33,,40.0,,,,Mainly Clear
-81.15,43.03,LONDON A,6144473,2018-07-01 14:00,2018,7,1,14:00,30.6,,21.0,,56.0,,19.0,,27.0,,24.1,,98.28,,39.0,,,,
