"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-81.15","43.03","LONDON A","6144473","2019-05-01 00:00","2019","05","01","00:00","5.8","","3.7","","86","","10","","31","","24.1","","99.02","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-01 01:00","2019","05","01","01:00","5.8","","3.8","","87","","9","","33","","24.1","","99.01","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-01 02:00","2019","05","01","02:00","5.4","","3.8","","90","","10","","27","","16.1","","99.03","","","","","","Thunderstorms,Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-01 03:00","2019","05","01","03:00","5.0","","4.0","","94","","9","","36","","19.3","","98.89","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-01 04:00","2019","05","01","04:00","5.2","","4.5","","96","","9","","36","","8.1","","98.81","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-01 05:00","2019","05","01","05:00","5.4","","4.8","","96","","8","","37","","11.3","","98.72","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 06:00","2019","05","01","06:00","5.6","","4.7","","94","","9","","35","","12.9","","98.69","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-01 07:00","2019","05","01","07:00","5.9","","4.9","","93","","9","","31","","16.1","","98.70","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-01 08:00","2019","05","01","08:00","6.4","","5.5","","94","","9","","28","","16.1","","98.63","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 09:00","2019","05","01","09:00","7.4","","6.2","","92","","10","","27","","16.1","","98.51","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 10:00","2019","05","01","10:00","8.2","","6.7","","90","","11","","30","","16.1","","98.41","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-01 11:00","2019","05","01","11:00","10.5","","8.4","","87","","10","","30","","19.3","","98.34","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 12:00","2019","05","01","12:00","12.9","","10.2","","83","","10","","27","","19.3","","98.21","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 13:00","2019","05","01","13:00","14.0","","11.1","","83","","11","","16","","19.3","","98.18","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-01 14:00","2019","05","01","14:00","17.4","","14.3","","82","","21","","20","","19.3","","98.18","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 15:00","2019","05","01","15:00","16.9","","14.3","","84","","24","","15","","19.3","","98.16","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-01 16:00","2019","05","01","16:00","16.0","","15.4","","96","","23","","19","","4.8","","98.12","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-01 17:00","2019","05","01","17:00","16.3","","15.4","","94","","25","","18","","12.9","","98.17","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-01 18:00","2019","05","01","18:00","16.3","","15.2","","94","","24","","18","","24.1","","98.20","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 19:00","2019","05","01","19:00","16.0","","15.1","","95","","24","","14","","24.1","","98.23","","","","","","Mostly Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-01 20:00","2019","05","01","20:00","15.7","","15.2","","97","","25","","13","","24.1","","98.33","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 21:00","2019","05","01","21:00","11.3","","10.8","","97","","33","","18","","12.9","","98.47","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-01 22:00","2019","05","01","22:00","10.3","","9.8","","97","","32","","11","","16.1","","98.51","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-01 23:00","2019","05","01","23:00","9.9","","9.4","","97","","34","","5","","16.1","","98.51","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 00:00","2019","05","02","00:00","9.6","","8.8","","95","","30","","11","","16.1","","98.55","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 01:00","2019","05","02","01:00","8.1","","6.8","","91","","30","","15","","24.1","","98.55","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-02 02:00","2019","05","02","02:00","6.5","","5.5","","93","","29","","10","","24.1","","98.53","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 03:00","2019","05","02","03:00","6.1","","5.2","","94","","30","","10","","24.1","","98.57","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 04:00","2019","05","02","04:00","5.7","","5.1","","96","","33","","10","","19.3","","98.58","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-02 05:00","2019","05","02","05:00","5.2","","4.5","","95","","30","","10","","19.3","","98.67","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 06:00","2019","05","02","06:00","4.7","","4.2","","96","","32","","13","","9.7","","98.69","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-02 07:00","2019","05","02","07:00","4.4","","4.1","","98","","34","","14","","1.2","","98.78","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-02 08:00","2019","05","02","08:00","4.8","","4.6","","99","","34","","6","","1.6","","98.80","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-02 09:00","2019","05","02","09:00","5.5","","4.8","","95","","36","","2","","9.7","","98.80","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-02 10:00","2019","05","02","10:00","8.4","","6.6","","89","","7","","5","","19.3","","98.82","","","","","","Mostly Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-02 11:00","2019","05","02","11:00","10.4","","7.5","","82","","36","","2","","24.1","","98.80","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 12:00","2019","05","02","12:00","12.6","","7.2","","69","","36","","3","","24.1","","98.77","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 13:00","2019","05","02","13:00","16.0","","9.5","","65","","21","","10","","24.1","","98.76","","","","","","Mainly Clear"
"-81.15","43.03","LONDON A","6144473","2019-05-02 14:00","2019","05","02","14:00","17.5","","10.5","","63","","26","","9","","24.1","","98.73","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 15:00","2019","05","02","15:00","18.3","","11.5","","64","","22","","12","","24.1","","98.68","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 16:00","2019","05","02","16:00","18.8","","11.9","","64","","23","","4","","24.1","","98.61","","","","","","Mostly Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-02 17:00","2019","05","02","17:00","17.9","","12.2","","69","","33","","4","","24.1","","98.58","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 18:00","2019","05","02","18:00","17.4","","12.1","","71","","30","","4","","24.1","","98.55","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-02 19:00","2019","05","02","19:00","16.1","","12.2","","78","","18","","11","","24.1","","98.53","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-02 20:00","2019","05","02","20:00","14.6","","12.6","","88","","10","","5","","19.3","","98.47","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-02 21:00","2019","05","02","21:00","13.5","","12.8","","96","","11","","8","","19.3","","98.49","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-02 22:00","2019","05","02","22:00","12.8","","12.3","","97","","10","","15","","16.1","","98.44","","","","","","Rain Showers"
"-81.15","43.03","LONDON A","6144473","2019-05-02 23:00","2019","05","02","23:00","10.2","","9.8","","97","","8","","20","","6.4","","98.39","","","","","","Drizzle,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 00:00","2019","05","03","00:00","9.7","","9.3","","98","","10","","14","","3.2","","98.37","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 01:00","2019","05","03","01:00","9.0","","8.7","","98","","8","","14","","2.4","","98.31","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 02:00","2019","05","03","02:00","8.8","","8.6","","98","","10","","12","","2.4","","98.26","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 03:00","2019","05","03","03:00","8.8","","8.6","","98","","9","","7","","2.4","","98.22","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 04:00","2019","05","03","04:00","8.9","","8.7","","99","","36","","2","","3.2","","98.26","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 05:00","2019","05","03","05:00","9.0","","8.8","","99","","2","","5","","2.4","","98.27","","","","","","Rain,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 06:00","2019","05","03","06:00","9.0","","8.9","","99","","36","","3","","2.4","","98.31","","","","","","Rain,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 07:00","2019","05","03","07:00","9.4","","9.1","","98","","6","","7","","4.0","","98.32","","","","","","Rain,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 08:00","2019","05","03","08:00","9.8","","9.5","","98","","10","","5","","6.4","","98.32","","","","","","Rain,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 09:00","2019","05","03","09:00","8.6","","8.2","","97","","30","","17","","4.8","","98.35","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 10:00","2019","05","03","10:00","8.3","","7.9","","98","","29","","6","","12.9","","98.37","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-03 11:00","2019","05","03","11:00","9.9","","9.4","","96","","32","","9","","12.9","","98.37","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-03 12:00","2019","05","03","12:00","10.8","","10.0","","95","","32","","10","","12.9","","98.37","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-03 13:00","2019","05","03","13:00","11.8","","10.4","","91","","34","","12","","12.9","","98.33","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-03 14:00","2019","05","03","14:00","11.9","","9.6","","86","","33","","12","","12.9","","98.34","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-03 15:00","2019","05","03","15:00","12.0","","9.6","","85","","34","","10","","24.1","","98.29","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-03 16:00","2019","05","03","16:00","12.6","","9.7","","82","","35","","16","","24.1","","98.22","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-03 17:00","2019","05","03","17:00","12.6","","9.7","","82","","34","","7","","24.1","","98.23","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-03 18:00","2019","05","03","18:00","10.0","","8.9","","93","","29","","13","","12.9","","98.26","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-03 19:00","2019","05","03","19:00","9.4","","8.4","","93","","30","","13","","9.7","","98.27","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-03 20:00","2019","05","03","20:00","8.9","","7.8","","93","","30","","14","","16.1","","98.28","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-03 21:00","2019","05","03","21:00","8.7","","7.9","","95","","30","","13","","19.3","","98.30","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-03 22:00","2019","05","03","22:00","9.1","","8.4","","95","","32","","9","","24.1","","98.28","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-03 23:00","2019","05","03","23:00","9.4","","8.2","","92","","34","","12","","24.1","","98.26","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-04 00:00","2019","05","04","00:00","9.0","","8.1","","94","","1","","14","","8.1","","98.27","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 01:00","2019","05","04","01:00","8.7","","8.4","","98","","1","","10","","3.2","","98.22","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 02:00","2019","05","04","02:00","8.7","","8.4","","99","","36","","10","","1.6","","98.14","","","","","","Drizzle,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 03:00","2019","05","04","03:00","9.0","","8.9","","99","","8","","13","","1.2","","98.11","","","","","","Drizzle,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 04:00","2019","05","04","04:00","9.0","","8.8","","99","","10","","9","","1.2","","98.08","","","","","","Drizzle,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 05:00","2019","05","04","05:00","8.8","","8.7","","99","","9","","8","","1.0","","98.14","","","","","","Drizzle,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 06:00","2019","05","04","06:00","8.8","","8.7","","99","","7","","7","","1.6","","98.17","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 07:00","2019","05","04","07:00","8.9","","8.7","","99","","6","","3","","3.2","","98.24","","","","","","Rain,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 08:00","2019","05","04","08:00","9.1","","8.8","","98","","11","","7","","3.2","","98.22","","","","","","Rain,Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 09:00","2019","05","04","09:00","9.6","","8.9","","95","","10","","5","","3.2","","98.23","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 10:00","2019","05","04","10:00","9.6","","8.9","","95","","34","","7","","4.8","","98.24","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 11:00","2019","05","04","11:00","10.0","","9.3","","96","","3","","5","","4.8","","98.20","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 12:00","2019","05","04","12:00","11.1","","9.8","","92","","36","","1","","8.1","","98.16","","","","","","Fog"
"-81.15","43.03","LONDON A","6144473","2019-05-04 13:00","2019","05","04","13:00","11.4","","9.4","","87","","35","","8","","12.9","","98.16","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-04 14:00","2019","05","04","14:00","10.3","","9.1","","92","","33","","11","","12.9","","98.14","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-04 15:00","2019","05","04","15:00","11.2","","9.2","","87","","33","","9","","16.1","","98.12","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-04 16:00","2019","05","04","16:00","11.9","","8.9","","82","","34","","5","","16.1","","98.07","","","","","","Cloudy"
"-81.15","43.03","LONDON A","6144473","2019-05-04 17:00","2019","05","04","17:00","12.7","","9.3","","80","","32","","5","","16.1","","98.06","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2019-05-04 18:00","2019","05","04","18:00","12.3","","9.3","","82","","20","","7","","19.3","","98.03","","","","","","NA"
